## Power System Dependency Diagram
# label: %origin%
# style: label;shape=rectangle;rounded=1;fillColor=#dae8fc;strokeColor=#6c8ebf;
# namespace: csvimport-
# connect: {"from":"origin", "to":"dependency", "invert":true, "style":"curved=0;endArrow=blockThin;endFill=1;"}
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
## CSV starts under this line
id,origin,dependency
1,android.hardware.power@1.0-impl.so,liblog.so
2,android.hardware.power@1.0-impl.so,libhardware.so
3,android.hardware.power@1.0-impl.so,libhidlbase.so
4,android.hardware.power@1.0-impl.so,libhidltransport.so
5,android.hardware.power@1.0-impl.so,libutils.so
6,android.hardware.power@1.0-impl.so,android.hardware.power@1.0.so
7,android.hardware.power@1.0-impl.so,libc++.so
8,android.hardware.power@1.0-impl.so,libc.so
9,android.hardware.power@1.0-impl.so,libm.so
10,android.hardware.power@1.0-impl.so,libdl.so
11,android.hardware.power@1.0-impl.so,android.hardware.power@1.0-impl.so
12,power.default.so,liblog.so
13,power.default.so,libc++.so
14,power.default.so,libc.so
15,power.default.so,libm.so
16,power.default.so,libdl.so
17,power.default.so,power.default.so
18,power.universal9610.so,liblog.so
19,power.universal9610.so,libcutils.so
20,power.universal9610.so,libhardware.so
21,power.universal9610.so,libc++.so
22,power.universal9610.so,libc.so
23,power.universal9610.so,libm.so
24,power.universal9610.so,libdl.so
25,power.universal9610.so,power.universal9610.so
26,power.universal9610.so,__aeabi_unwind_cpp_pr0
27,power.universal9610.so,__aeabi_unwind_cpp_pr1
28,power.universal9610.so,__aeabi_unwind_cpp_pr2
29,power.universal9610.so,during
30,power.universal9610.so,phase1
31,power.universal9610.so,personality
32,power.universal9610.so,function
33,power.universal9610.so,said
34,power.universal9610.so,it
35,power.universal9610.so,would
36,power.universal9610.so,stop
37,power.universal9610.so,here,
38,power.universal9610.so,but
39,power.universal9610.so,now
40,power.universal9610.so,in
41,power.universal9610.so,phase2
42,power.universal9610.so,it
43,power.universal9610.so,did
44,power.universal9610.so,not
45,power.universal9610.so,stop
46,power.universal9610.so,here
47,power.universal9610.so,external/libunwind_llvm/src/Unwind-EHABI.cpp
48,power.universal9610.so,external/libunwind_llvm/src/UnwindCursor.hpp
49,power.universal9610.so,unknown
50,power.universal9610.so,personality
51,power.universal9610.so,routine
52,android.hardware.power@1.0-impl.so,liblog.so
53,android.hardware.power@1.0-impl.so,libhardware.so
54,android.hardware.power@1.0-impl.so,libhidlbase.so
55,android.hardware.power@1.0-impl.so,libhidltransport.so
56,android.hardware.power@1.0-impl.so,libutils.so
57,android.hardware.power@1.0-impl.so,android.hardware.power@1.0.so
58,android.hardware.power@1.0-impl.so,libc++.so
59,android.hardware.power@1.0-impl.so,libc.so
60,android.hardware.power@1.0-impl.so,libm.so
61,android.hardware.power@1.0-impl.so,libdl.so
62,android.hardware.power@1.0-impl.so,android.hardware.power@1.0-impl.so
