origin, dependency
13722-android.hardware.power@1.0-impl.so, liblog.so
13722-android.hardware.power@1.0-impl.so, libhardware.so
13722-android.hardware.power@1.0-impl.so, libhidlbase.so
13722-android.hardware.power@1.0-impl.so, libhidltransport.so
13722-android.hardware.power@1.0-impl.so, libutils.so
13722-android.hardware.power@1.0-impl.so, android.hardware.power@1.0.so
13722-android.hardware.power@1.0-impl.so, libc++.so
13722-android.hardware.power@1.0-impl.so, libc.so
13722-android.hardware.power@1.0-impl.so, libm.so
13722-android.hardware.power@1.0-impl.so, libdl.so
13722-android.hardware.power@1.0-impl.so, android.hardware.power@1.0-impl.so
13760-power.default.so, liblog.so
13760-power.default.so, libc++.so
13760-power.default.so, libc.so
13760-power.default.so, libm.so
13760-power.default.so, libdl.so
13760-power.default.so, power.default.so
13762-power.universal9610.so, liblog.so
13762-power.universal9610.so, libcutils.so
13762-power.universal9610.so, libhardware.so
13762-power.universal9610.so, libc++.so
13762-power.universal9610.so, libc.so
13762-power.universal9610.so, libm.so
13762-power.universal9610.so, libdl.so
13762-power.universal9610.so, power.universal9610.so
13762-power.universal9610.so, __aeabi_unwind_cpp_pr0
13762-power.universal9610.so, __aeabi_unwind_cpp_pr1
13762-power.universal9610.so, __aeabi_unwind_cpp_pr2
13762-power.universal9610.so, during
13762-power.universal9610.so, phase1
13762-power.universal9610.so, personality
13762-power.universal9610.so, function
13762-power.universal9610.so, said
13762-power.universal9610.so, it
13762-power.universal9610.so, would
13762-power.universal9610.so, stop
13762-power.universal9610.so, here,
13762-power.universal9610.so, but
13762-power.universal9610.so, now
13762-power.universal9610.so, in
13762-power.universal9610.so, phase2
13762-power.universal9610.so, it
13762-power.universal9610.so, did
13762-power.universal9610.so, not
13762-power.universal9610.so, stop
13762-power.universal9610.so, here
13762-power.universal9610.so, external/libunwind_llvm/src/Unwind-EHABI.cpp
13762-power.universal9610.so, external/libunwind_llvm/src/UnwindCursor.hpp
13762-power.universal9610.so, unknown
13762-power.universal9610.so, personality
13762-power.universal9610.so, routine
14344-android.hardware.power@1.0-impl.so, liblog.so
14344-android.hardware.power@1.0-impl.so, libhardware.so
14344-android.hardware.power@1.0-impl.so, libhidlbase.so
14344-android.hardware.power@1.0-impl.so, libhidltransport.so
14344-android.hardware.power@1.0-impl.so, libutils.so
14344-android.hardware.power@1.0-impl.so, android.hardware.power@1.0.so
14344-android.hardware.power@1.0-impl.so, libc++.so
14344-android.hardware.power@1.0-impl.so, libc.so
14344-android.hardware.power@1.0-impl.so, libm.so
14344-android.hardware.power@1.0-impl.so, libdl.so
14344-android.hardware.power@1.0-impl.so, android.hardware.power@1.0-impl.so
14378-power.default.so, liblog.so
14378-power.default.so, libc++.so
14378-power.default.so, libc.so
14378-power.default.so, libm.so
14378-power.default.so, libdl.so
14378-power.default.so, power.default.so
14380-power.universal9610.so, liblog.so
14380-power.universal9610.so, libcutils.so
14380-power.universal9610.so, libhardware.so
14380-power.universal9610.so, libc++.so
14380-power.universal9610.so, libc.so
14380-power.universal9610.so, libm.so
14380-power.universal9610.so, libdl.so
14380-power.universal9610.so, power.universal9610.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libhidlbase.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libhidltransport.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libhwbinder.so
14813-vendor.samsung.hardware.miscpower@2.0.so, liblog.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libutils.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libcutils.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libc++.so
14813-vendor.samsung.hardware.miscpower@2.0.so, libc.so
