origin,dependency
android.hardware.power@1.0-impl.so,liblog.so
android.hardware.power@1.0-impl.so,libhardware.so
android.hardware.power@1.0-impl.so,libhidlbase.so
android.hardware.power@1.0-impl.so,libhidltransport.so
android.hardware.power.stats@1.0.so,libutils.so
android.hardware.power@1.0-impl.so,android.hardware.power@1.0.so
android.hardware.power@1.0-impl.so,libc++.so
android.hardware.power@1.0-impl.so,libc.so
android.hardware.power.stats@1.0.so,libm.so
android.hardware.power@1.0-impl.so,libdl.so
android.hardware.power@1.0-impl.so,android.hardware.power@1.0-impl.so
power.default.so,liblog.so
power.default.so,libc++.so
power.default.so,libc.so
android.hardware.power@1.0.so,libm.so
power.default.so,libdl.so
power.default.so,power.default.so
power.universal9610.so,liblog.so
power.universal9610.so,libcutils.so
power.universal9610.so,libhardware.so
power.universal9610.so,libc++.so
power.universal9610.so,libc.so
android.hardware.power@1.0-impl.so,libm.so
power.universal9610.so,libdl.so
power.universal9610.so,power.universal9610.so
power.universal9610.so,external/libunwind_llvm/src/Unwind-EHABI.cpp
vendor.samsung.hardware.miscpower@2.0.so,libhidlbase.so
vendor.samsung.hardware.miscpower@2.0.so,libhidltransport.so
vendor.samsung.hardware.miscpower@2.0.so,libhwbinder.so
vendor.samsung.hardware.miscpower@2.0.so,liblog.so
android.hardware.power@1.0.so,libutils.so
vendor.samsung.hardware.miscpower@2.0.so,libcutils.so
vendor.samsung.hardware.miscpower@2.0.so,libc++.so
vendor.samsung.hardware.miscpower@2.0.so,libc.so
android.hardware.power@1.1.so,libm.so
vendor.samsung.hardware.miscpower@2.0.so,libdl.so
vendor.samsung.hardware.miscpower@2.0.so,vendor.samsung.hardware.miscpower@2.0.so
android.hardware.power.stats@1.0.so,libhidlbase.so
android.hardware.power.stats@1.0.so,libhidltransport.so
android.hardware.power.stats@1.0.so,libhwbinder.so
android.hardware.power.stats@1.0.so,liblog.so
android.hardware.power@1.0-impl.so,libutils.so
android.hardware.power.stats@1.0.so,libcutils.so
android.hardware.power.stats@1.0.so,libc++.so
